"NO.","FUNC","DATA","UNIT","TIME"
1,"TYPE T","OL/106.4","K","2024/10/25\12:30:59"
2,"TYPE T","OL/106.4","K","2024/10/25\12:30:59"
3,"TYPE T","OL/106.4","K","2024/10/25\12:31:00"
4,"TYPE T","OL/106.3","K","2024/10/25\12:31:01"
5,"TYPE T","OL/106.3","K","2024/10/25\12:31:01"
6,"TYPE T","OL/106.3","K","2024/10/25\12:31:02"
7,"TYPE T","OL/106.2","K","2024/10/25\12:31:02"
8,"TYPE T","OL/106.3","K","2024/10/25\12:31:03"
9,"TYPE T","OL/106.3","K","2024/10/25\12:31:04"
10,"TYPE T","OL/106.2","K","2024/10/25\12:31:04"
11,"TYPE T","OL/106.2","K","2024/10/25\12:31:05"
12,"TYPE T","OL/106.1","K","2024/10/25\12:31:05"
13,"TYPE T","OL/106.1","K","2024/10/25\12:31:06"
14,"TYPE T","OL/106.1","K","2024/10/25\12:31:06"
15,"TYPE T","OL/106.1","K","2024/10/25\12:31:07"
16,"TYPE T","OL/106.0","K","2024/10/25\12:31:08"
17,"TYPE T","OL/106.0","K","2024/10/25\12:31:08"
18,"TYPE T","OL/105.9","K","2024/10/25\12:31:09"
19,"TYPE T","OL/105.9","K","2024/10/25\12:31:09"
20,"TYPE T","OL/105.8","K","2024/10/25\12:31:10"
21,"TYPE T","OL/105.8","K","2024/10/25\12:31:11"
22,"TYPE T","OL/105.8","K","2024/10/25\12:31:11"
23,"TYPE T","OL/105.7","K","2024/10/25\12:31:12"
24,"TYPE T","OL/105.7","K","2024/10/25\12:31:12"
25,"TYPE T","OL/105.7","K","2024/10/25\12:31:13"
26,"TYPE T","OL/105.6","K","2024/10/25\12:31:14"
27,"TYPE T","OL/105.6","K","2024/10/25\12:31:14"
28,"TYPE T","OL/105.6","K","2024/10/25\12:31:15"
29,"TYPE T","OL/105.5","K","2024/10/25\12:31:15"
30,"TYPE T","OL/105.5","K","2024/10/25\12:31:16"
31,"TYPE T","OL/105.4","K","2024/10/25\12:31:17"
32,"TYPE T","OL/105.4","K","2024/10/25\12:31:17"
33,"TYPE T","OL/105.4","K","2024/10/25\12:31:18"
34,"TYPE T","OL/105.3","K","2024/10/25\12:31:18"
35,"TYPE T","OL/105.3","K","2024/10/25\12:31:19"
36,"TYPE T","OL/105.3","K","2024/10/25\12:31:20"
37,"TYPE T","OL/105.3","K","2024/10/25\12:31:20"
38,"TYPE T","OL/105.2","K","2024/10/25\12:31:21"
39,"TYPE T","OL/105.2","K","2024/10/25\12:31:21"
40,"TYPE T","OL/105.3","K","2024/10/25\12:31:22"
41,"TYPE T","OL/105.3","K","2024/10/25\12:31:23"
42,"TYPE T","OL/105.2","K","2024/10/25\12:31:23"
43,"TYPE T","OL/105.2","K","2024/10/25\12:31:24"
44,"TYPE T","OL/105.2","K","2024/10/25\12:31:24"
45,"TYPE T","OL/105.2","K","2024/10/25\12:31:25"
46,"TYPE T","OL/105.1","K","2024/10/25\12:31:26"
47,"TYPE T","OL/105.1","K","2024/10/25\12:31:26"
48,"TYPE T","OL/105.1","K","2024/10/25\12:31:27"
49,"TYPE T","OL/105.0","K","2024/10/25\12:31:27"
50,"TYPE T","OL/105.0","K","2024/10/25\12:31:28"
51,"TYPE T","OL/104.9","K","2024/10/25\12:31:29"
52,"TYPE T","OL/104.9","K","2024/10/25\12:31:29"
53,"TYPE T","OL/104.9","K","2024/10/25\12:31:30"
54,"TYPE T","OL/104.9","K","2024/10/25\12:31:30"
55,"TYPE T","OL/104.9","K","2024/10/25\12:31:31"
56,"TYPE T","OL/104.8","K","2024/10/25\12:31:32"
57,"TYPE T","OL/104.8","K","2024/10/25\12:31:32"
58,"TYPE T","OL/104.8","K","2024/10/25\12:31:33"
59,"TYPE T","OL/104.8","K","2024/10/25\12:31:33"
60,"TYPE T","OL/104.8","K","2024/10/25\12:31:34"
61,"TYPE T","OL/104.7","K","2024/10/25\12:31:34"
62,"TYPE T","OL/104.7","K","2024/10/25\12:31:35"
63,"TYPE T","OL/104.7","K","2024/10/25\12:31:36"
64,"TYPE T","OL/104.7","K","2024/10/25\12:31:36"
65,"TYPE T","OL/104.7","K","2024/10/25\12:31:37"
66,"TYPE T","OL/104.6","K","2024/10/25\12:31:37"
67,"TYPE T","OL/104.6","K","2024/10/25\12:31:38"
68,"TYPE T","OL/104.5","K","2024/10/25\12:31:39"
69,"TYPE T","OL/104.5","K","2024/10/25\12:31:39"
70,"TYPE T","OL/104.5","K","2024/10/25\12:31:40"
71,"TYPE T","OL/104.5","K","2024/10/25\12:31:40"
72,"TYPE T","OL/104.5","K","2024/10/25\12:31:41"
73,"TYPE T","OL/104.5","K","2024/10/25\12:31:42"
74,"TYPE T","OL/104.5","K","2024/10/25\12:31:42"
75,"TYPE T","OL/104.4","K","2024/10/25\12:31:43"
76,"TYPE T","OL/104.4","K","2024/10/25\12:31:43"
77,"TYPE T","OL/104.3","K","2024/10/25\12:31:44"
78,"TYPE T","OL/104.4","K","2024/10/25\12:31:45"
79,"TYPE T","OL/104.4","K","2024/10/25\12:31:45"
80,"TYPE T","OL/104.3","K","2024/10/25\12:31:46"
81,"TYPE T","OL/104.3","K","2024/10/25\12:31:46"
82,"TYPE T","OL/104.2","K","2024/10/25\12:31:47"
83,"TYPE T","OL/104.2","K","2024/10/25\12:31:48"
