2024-10-25,12:31:02,Sample Rate(S):,0.400
X,Y,R,Theta,Frequency,Noise,XH1,YH1,RH1,Theta H1,XH2,YH2,RH2,Theta H2,ADC1,ADC2,ADC3,ADC4
6.9791100000e-11,9.3662500000e-09,9.3665100000e-09,8.9573000000e+01,5.1660000000e+03,5.7344800000e-09,-6.4430500000e-09,-6.2688100000e-09,8.9894900000e-09,-1.3575600000e+02,-4.7178600000e-09,-7.2066400000e-09,8.2391500000e-09,-1.2321000000e+02,2.0870000000e+00,2.0900000000e+00,2.0880000000e+00,2.0890000000e+00
-3.6176800000e-09,-4.1580000000e-10,3.6430000000e-09,-1.7344300000e+02,5.1660000000e+03,5.4844900000e-09,3.0222600000e-09,-1.9624600000e-09,3.6051200000e-09,-2.7058000000e+01,3.5015700000e-09,-9.0642500000e-10,3.6853700000e-09,-8.6850000000e+00,2.0870000000e+00,2.0870000000e+00,2.0870000000e+00,2.0860000000e+00
-2.5198600000e-10,2.2409700000e-10,3.4234200000e-10,1.3835300000e+02,5.1660000000e+03,5.2511500000e-09,-1.4255400000e-10,-7.5888400000e-10,1.2098300000e-09,-1.0454200000e+02,-4.2052600000e-11,-1.2089500000e-09,1.6383100000e-09,-9.3970000000e+01,2.0870000000e+00,2.0880000000e+00,2.0850000000e+00,2.0810000000e+00
5.7166200000e-09,2.5805800000e-09,6.2727000000e-09,2.4295000000e+01,5.1660000000e+03,5.2747300000e-09,-6.3162000000e-09,1.7697100000e-09,6.7265400000e-09,1.6700200000e+02,-6.7258500000e-09,5.3261800000e-11,6.9108100000e-09,-1.7786900000e+02,2.0880000000e+00,2.0900000000e+00,2.0870000000e+00,2.0870000000e+00
1.2783800000e-08,-1.9404500000e-09,1.2930200000e-08,-8.7810000000e+00,5.1660000000e+03,5.0343000000e-09,-7.3884400000e-09,1.0234400000e-08,1.2467300000e-08,1.2568400000e+02,-9.2981000000e-09,8.2304100000e-09,1.2313700000e-08,1.3805700000e+02,2.0870000000e+00,2.0890000000e+00,2.0870000000e+00,2.0880000000e+00
2.5653300000e-08,-1.3339500000e-09,2.5687900000e-08,-2.8080000000e+00,5.1660000000e+03,4.3970100000e-09,-1.7202400000e-08,1.9239900000e-08,2.6037000000e-08,1.3211200000e+02,-2.1238200000e-08,1.5062000000e-08,2.6146500000e-08,1.4480700000e+02,2.0870000000e+00,2.0870000000e+00,2.0840000000e+00,2.0780000000e+00
-1.4485300000e-09,-6.3052100000e-09,6.4701300000e-09,-1.0579200000e+02,5.1660000000e+03,4.3868600000e-09,5.6897600000e-09,3.1300900000e-09,6.5232200000e-09,2.5961000000e+01,5.1041800000e-09,4.0608300000e-09,6.5553000000e-09,3.5649000000e+01,2.0880000000e+00,2.0880000000e+00,2.0860000000e+00,2.0830000000e+00
2.3733400000e-08,-1.1234400000e-09,2.3760100000e-08,-2.2800000000e+00,5.1660000000e+03,4.4455100000e-09,-1.5920200000e-08,1.7479400000e-08,2.3527000000e-08,1.3275400000e+02,-1.9342300000e-08,1.3394000000e-08,2.3304800000e-08,1.4613100000e+02,2.0880000000e+00,2.0900000000e+00,2.0870000000e+00,2.0870000000e+00
7.5401400000e-09,2.0210300000e-08,2.1571100000e-08,6.9540000000e+01,5.1660000000e+03,4.8673600000e-09,-1.9498700000e-08,-8.6123900000e-09,2.1316100000e-08,-1.5682100000e+02,-1.6880600000e-08,-1.2140300000e-08,2.0522300000e-08,-1.4461800000e+02,2.0870000000e+00,2.0880000000e+00,2.0850000000e+00,2.0800000000e+00
-4.5089300000e-09,3.4826600000e-09,5.6978500000e-09,1.4231800000e+02,5.1660000000e+03,4.7584200000e-09,9.5888400000e-10,-5.6752000000e-09,5.7561300000e-09,-7.7880000000e+01,2.4307900000e-09,-5.2934000000e-09,5.9047500000e-09,-6.2960000000e+01,2.0880000000e+00,2.0880000000e+00,2.0850000000e+00,2.0810000000e+00
