"NO.","FUNC","DATA","UNIT","TIME"
1,"TYPE T","OL/300.4","K","2024/10/25\9:07:40"
2,"TYPE T","OL/300.4","K","2024/10/25\9:07:40"
3,"TYPE T","OL/300.4","K","2024/10/25\9:07:41"
4,"TYPE T","OL/300.3","K","2024/10/25\9:07:42"
5,"TYPE T","OL/300.3","K","2024/10/25\9:07:42"
6,"TYPE T","OL/300.3","K","2024/10/25\9:07:43"
7,"TYPE T","OL/300.3","K","2024/10/25\9:07:43"
8,"TYPE T","OL/300.3","K","2024/10/25\9:07:44"
9,"TYPE T","OL/300.3","K","2024/10/25\9:07:45"
10,"TYPE T","OL/300.3","K","2024/10/25\9:07:45"
11,"TYPE T","OL/300.3","K","2024/10/25\9:07:46"
12,"TYPE T","OL/300.3","K","2024/10/25\9:07:46"
13,"TYPE T","OL/300.3","K","2024/10/25\9:07:47"
14,"TYPE T","OL/300.3","K","2024/10/25\9:07:48"
15,"TYPE T","OL/300.3","K","2024/10/25\9:07:48"
16,"TYPE T","OL/300.3","K","2024/10/25\9:07:49"
17,"TYPE T","OL/300.3","K","2024/10/25\9:07:49"
18,"TYPE T","OL/300.3","K","2024/10/25\9:07:50"
19,"TYPE T","OL/300.3","K","2024/10/25\9:07:51"
20,"TYPE T","OL/300.3","K","2024/10/25\9:07:51"
21,"TYPE T","OL/300.3","K","2024/10/25\9:07:52"
22,"TYPE T","OL/300.3","K","2024/10/25\9:07:52"
23,"TYPE T","OL/300.4","K","2024/10/25\9:07:53"
24,"TYPE T","OL/300.4","K","2024/10/25\9:07:53"
25,"TYPE T","OL/300.4","K","2024/10/25\9:07:54"
26,"TYPE T","OL/300.4","K","2024/10/25\9:07:55"
27,"TYPE T","OL/300.4","K","2024/10/25\9:07:55"
28,"TYPE T","OL/300.4","K","2024/10/25\9:07:56"
29,"TYPE T","OL/300.4","K","2024/10/25\9:07:56"
30,"TYPE T","OL/300.4","K","2024/10/25\9:07:57"
31,"TYPE T","OL/300.4","K","2024/10/25\9:07:58"
32,"TYPE T","OL/300.4","K","2024/10/25\9:07:58"
33,"TYPE T","OL/300.4","K","2024/10/25\9:07:59"
34,"TYPE T","OL/300.4","K","2024/10/25\9:07:59"
35,"TYPE T","OL/300.4","K","2024/10/25\9:08:00"
36,"TYPE T","OL/300.4","K","2024/10/25\9:08:01"
37,"TYPE T","OL/300.4","K","2024/10/25\9:08:01"
38,"TYPE T","OL/300.4","K","2024/10/25\9:08:02"
39,"TYPE T","OL/300.4","K","2024/10/25\9:08:02"
40,"TYPE T","OL/300.4","K","2024/10/25\9:08:03"
41,"TYPE T","OL/300.4","K","2024/10/25\9:08:04"
42,"TYPE T","OL/300.4","K","2024/10/25\9:08:04"
43,"TYPE T","OL/300.4","K","2024/10/25\9:08:05"
44,"TYPE T","OL/300.4","K","2024/10/25\9:08:05"
45,"TYPE T","OL/300.4","K","2024/10/25\9:08:06"
46,"TYPE T","OL/300.4","K","2024/10/25\9:08:06"
47,"TYPE T","OL/300.5","K","2024/10/25\9:08:07"
48,"TYPE T","OL/300.5","K","2024/10/25\9:08:08"
49,"TYPE T","OL/300.5","K","2024/10/25\9:08:08"
50,"TYPE T","OL/300.5","K","2024/10/25\9:08:09"
51,"TYPE T","OL/300.4","K","2024/10/25\9:08:09"
52,"TYPE T","OL/300.5","K","2024/10/25\9:08:10"
53,"TYPE T","OL/300.4","K","2024/10/25\9:08:11"
54,"TYPE T","OL/300.4","K","2024/10/25\9:08:11"
55,"TYPE T","OL/300.4","K","2024/10/25\9:08:12"
56,"TYPE T","OL/300.4","K","2024/10/25\9:08:12"
57,"TYPE T","OL/300.4","K","2024/10/25\9:08:13"
58,"TYPE T","OL/300.4","K","2024/10/25\9:08:14"
59,"TYPE T","OL/300.4","K","2024/10/25\9:08:14"
60,"TYPE T","OL/300.3","K","2024/10/25\9:08:15"
61,"TYPE T","OL/300.3","K","2024/10/25\9:08:15"
62,"TYPE T","OL/300.3","K","2024/10/25\9:08:16"
63,"TYPE T","OL/300.3","K","2024/10/25\9:08:17"
64,"TYPE T","OL/300.4","K","2024/10/25\9:08:17"
65,"TYPE T","OL/300.4","K","2024/10/25\9:08:18"
66,"TYPE T","OL/300.4","K","2024/10/25\9:08:18"
67,"TYPE T","OL/300.4","K","2024/10/25\9:08:19"
68,"TYPE T","OL/300.4","K","2024/10/25\9:08:19"
69,"TYPE T","OL/300.4","K","2024/10/25\9:08:20"
70,"TYPE T","OL/300.4","K","2024/10/25\9:08:21"
71,"TYPE T","OL/300.4","K","2024/10/25\9:08:21"
72,"TYPE T","OL/300.4","K","2024/10/25\9:08:22"
73,"TYPE T","OL/300.4","K","2024/10/25\9:08:22"
74,"TYPE T","OL/300.4","K","2024/10/25\9:08:23"
75,"TYPE T","OL/300.4","K","2024/10/25\9:08:24"
76,"TYPE T","OL/300.4","K","2024/10/25\9:08:24"
77,"TYPE T","OL/300.4","K","2024/10/25\9:08:25"
78,"TYPE T","OL/300.4","K","2024/10/25\9:08:25"
79,"TYPE T","OL/300.4","K","2024/10/25\9:08:26"
80,"TYPE T","OL/300.4","K","2024/10/25\9:08:27"
81,"TYPE T","OL/300.4","K","2024/10/25\9:08:27"
82,"TYPE T","OL/300.4","K","2024/10/25\9:08:28"
83,"TYPE T","OL/300.4","K","2024/10/25\9:08:28"
