2024-10-25,11:29:22,Sample Rate(S):,0.500
X,Y,R,Theta,Frequency,Noise,XH1,YH1,RH1,Theta H1,XH2,YH2,RH2,Theta H2,ADC1,ADC2,ADC3,ADC4
1.1744900000e-08,-6.6870300000e-09,1.3515100000e-08,-2.9930000000e+01,5.1660000000e+03,5.7143600000e-09,-2.7649200000e-09,1.6776100000e-08,1.8749500000e-08,9.8800000000e+01,-6.8246100000e-09,1.7463300000e-08,2.0487100000e-08,1.1087300000e+02,2.0860000000e+00,2.0880000000e+00,2.0840000000e+00,2.0780000000e+00
-5.4807700000e-09,2.0143800000e-08,2.0876100000e-08,1.0522100000e+02,5.1660000000e+03,6.5044000000e-09,-1.3955400000e-08,-1.9146100000e-08,2.4639200000e-08,-1.2638900000e+02,-9.9598900000e-09,-2.2536300000e-08,2.5171500000e-08,-1.1428000000e+02,2.0880000000e+00,2.0900000000e+00,2.0880000000e+00,2.0890000000e+00
-3.2681100000e-08,1.9623400000e-08,3.8121500000e-08,1.4901700000e+02,5.1660000000e+03,6.5057600000e-09,2.8888900000e-09,-3.6216100000e-08,3.6332900000e-08,-8.7498000000e+01,9.1048200000e-09,-3.3864700000e-08,3.3474600000e-08,-7.7226000000e+01,2.0860000000e+00,2.0880000000e+00,2.0880000000e+00,2.0820000000e+00
-1.9856900000e-08,-2.4123200000e-10,1.9863400000e-08,-1.7930400000e+02,5.1660000000e+03,6.4339500000e-09,1.5743200000e-08,-1.3887200000e-08,2.1332700000e-08,-3.7439000000e+01,1.9347400000e-08,-8.9774600000e-09,2.1454100000e-08,-2.1331000000e+01,2.0880000000e+00,2.0900000000e+00,2.0880000000e+00,2.0890000000e+00
1.6071400000e-08,4.1247700000e-09,1.6593400000e-08,1.4394000000e+01,5.1660000000e+03,6.8069400000e-09,-1.5078300000e-08,1.0220100000e-08,1.9603800000e-08,1.4748900000e+02,-1.8425200000e-08,6.6931900000e-09,2.1596100000e-08,1.6132000000e+02,2.0870000000e+00,2.0870000000e+00,2.0840000000e+00,2.0790000000e+00
4.0447600000e-08,-3.9835200000e-08,5.6774200000e-08,-4.4563000000e+01,5.1660000000e+03,7.6830300000e-09,7.4983100000e-09,5.5209300000e-08,5.5720700000e-08,7.9689000000e+01,-2.1367800000e-09,5.4743800000e-08,5.3991700000e-08,8.9577000000e+01,2.0880000000e+00,2.0900000000e+00,2.0870000000e+00,2.0870000000e+00
1.2246600000e-09,-4.8156400000e-08,4.8175200000e-08,-9.0871000000e+01,5.1660000000e+03,7.8716000000e-09,3.8101200000e-08,3.0218100000e-08,4.9171000000e-08,3.6042000000e+01,3.2522200000e-08,3.6874800000e-08,5.0702300000e-08,4.3778000000e+01,2.0860000000e+00,2.0870000000e+00,2.0840000000e+00,2.0780000000e+00
-1.7308000000e-09,-1.2332200000e-09,2.1272200000e-09,-1.3631200000e+02,5.1660000000e+03,7.6395200000e-09,2.7242300000e-09,-3.3585100000e-10,4.0622700000e-09,2.2180000000e+00,3.9277800000e-09,1.0351100000e-09,4.5471200000e-09,1.6383000000e+01,2.0870000000e+00,2.0870000000e+00,2.0840000000e+00,2.0790000000e+00
-1.3269900000e-09,1.8097100000e-08,1.8148900000e-08,9.8679000000e+01,5.1660000000e+03,5.9182800000e-09,-1.0380400000e-08,-1.1515500000e-08,1.1264700000e-08,-1.1592600000e+02,-2.6024500000e-09,-1.0111900000e-08,1.0137800000e-08,-7.6327000000e+01,2.0870000000e+00,2.0900000000e+00,2.0870000000e+00,2.0870000000e+00
-2.9944100000e-08,-2.0930600000e-08,3.6538000000e-08,-1.4504700000e+02,5.1660000000e+03,5.6617600000e-09,3.5154200000e-08,-7.8959400000e-09,3.6034900000e-08,-9.2310000000e+00,3.5685900000e-08,2.0674700000e-09,3.5694800000e-08,1.0583000000e+01,2.0880000000e+00,2.0890000000e+00,2.0870000000e+00,2.0870000000e+00
