2024-10-25,11:54:57,Sample Rate(S):,0.400
X,Y,R,Theta,Frequency,Noise,XH1,YH1,RH1,Theta H1,XH2,YH2,RH2,Theta H2,ADC1,ADC2,ADC3,ADC4
5.0676600000e-09,7.4351700000e-09,8.9981200000e-09,5.5722000000e+01,5.7612000000e+04,4.3941000000e-09,-3.6096800000e-09,-8.3748700000e-09,9.1198400000e-09,-1.1208900000e+02,8.6118600000e-09,3.3569200000e-09,9.3677700000e-09,2.2501000000e+01,2.0870000000e+00,2.0890000000e+00,2.0850000000e+00,2.0820000000e+00
6.3093500000e-09,-1.2902300000e-08,1.4362500000e-08,-6.3065000000e+01,5.7612000000e+04,4.2573900000e-09,-8.5496800000e-09,1.1493300000e-08,1.4240100000e-08,1.2831900000e+02,-1.8529900000e-09,-1.4073000000e-08,1.4194600000e-08,-9.6727000000e+01,2.0870000000e+00,2.0890000000e+00,2.0860000000e+00,2.0840000000e+00
-1.1171900000e-09,-1.8490500000e-08,1.8524300000e-08,-9.3644000000e+01,5.7612000000e+04,4.0734400000e-09,-1.8591800000e-09,1.7505800000e-08,1.7132000000e-08,9.5906000000e+01,-1.1174700000e-08,-1.2582900000e-08,1.6652600000e-08,-1.3092100000e+02,2.0870000000e+00,2.0880000000e+00,2.0860000000e+00,2.0830000000e+00
-4.4315400000e-09,1.1951300000e-08,1.2746500000e-08,1.1051500000e+02,5.7612000000e+04,4.0601000000e-09,6.4575800000e-09,-1.1085700000e-08,1.2915300000e-08,-5.9631000000e+01,3.6139200000e-09,1.2492700000e-08,1.3003800000e-08,7.4134000000e+01,2.0870000000e+00,2.0890000000e+00,2.0860000000e+00,2.0840000000e+00
-4.4010100000e-09,2.3550100000e-09,4.9915400000e-09,1.5184800000e+02,5.7612000000e+04,4.0047700000e-09,4.7415300000e-09,-1.5050100000e-09,4.9548600000e-09,-1.6785000000e+01,-2.2176200000e-09,4.4305800000e-09,4.9054800000e-09,1.1811300000e+02,2.0870000000e+00,2.0880000000e+00,2.0860000000e+00,2.0830000000e+00
-4.9715600000e-09,1.2385400000e-08,1.3346000000e-08,1.1183500000e+02,5.7612000000e+04,4.2226800000e-09,6.8466600000e-09,-1.1153600000e-08,1.2827000000e-08,-5.8515000000e+01,3.3485000000e-09,1.1858100000e-08,1.2294200000e-08,7.4579000000e+01,2.0870000000e+00,2.0890000000e+00,2.0860000000e+00,2.0830000000e+00
1.5814800000e-08,9.1536300000e-09,1.8272900000e-08,3.0062000000e+01,5.7612000000e+04,4.0009200000e-09,-1.4252000000e-08,-1.1660000000e-08,1.8547800000e-08,-1.4116300000e+02,1.8377400000e-08,-2.8113800000e-09,1.8788100000e-08,-8.6060000000e+00,2.0870000000e+00,2.0880000000e+00,2.0860000000e+00,2.0830000000e+00
1.4154400000e-08,-6.6619800000e-09,1.5643900000e-08,-2.5489000000e+01,5.7612000000e+04,4.3017700000e-09,-1.4938000000e-08,4.2220300000e-09,1.5394600000e-08,1.6395400000e+02,7.0684900000e-09,-1.3675400000e-08,1.5257500000e-08,-6.2913000000e+01,2.0870000000e+00,2.0880000000e+00,2.0860000000e+00,2.0820000000e+00
-6.5686300000e-09,-1.2605900000e-08,1.4214600000e-08,-1.1763200000e+02,5.7612000000e+04,4.0935400000e-09,4.4367200000e-09,1.3909700000e-08,1.4628100000e-08,7.1969000000e+01,-1.3430100000e-08,-6.3317800000e-09,1.4847800000e-08,-1.5500300000e+02,2.0870000000e+00,2.0890000000e+00,2.0860000000e+00,2.0840000000e+00
2.4411300000e-09,1.9932400000e-09,3.1518600000e-09,3.9233000000e+01,5.7612000000e+04,4.2998600000e-09,-2.1993800000e-09,-2.0453600000e-09,3.0038400000e-09,-1.4031200000e+02,2.9273100000e-09,-3.5530800000e-10,2.9063500000e-09,-1.0292000000e+01,2.0870000000e+00,2.0890000000e+00,2.0860000000e+00,2.0840000000e+00
1.9828400000e-09,-5.7423900000e-09,6.0751600000e-09,-7.0950000000e+01,5.7612000000e+04,4.2486100000e-09,-2.8903800000e-09,5.4812200000e-09,6.4297300000e-09,1.1607500000e+02,-2.2567300000e-09,-6.0211200000e-09,6.5458900000e-09,-1.1131200000e+02,2.0870000000e+00,2.0890000000e+00,2.0860000000e+00,2.0840000000e+00
9.8971100000e-09,1.1803500000e-08,1.5403700000e-08,4.9861000000e+01,5.7612000000e+04,4.1199900000e-09,-7.7881600000e-09,-1.3259100000e-08,1.5342700000e-08,-1.2058500000e+02,1.4961900000e-08,3.3473300000e-09,1.5298600000e-08,1.2639000000e+01,2.0880000000e+00,2.0890000000e+00,2.0870000000e+00,2.0840000000e+00
-6.1474600000e-09,-7.5570300000e-09,9.7421500000e-09,-1.2912800000e+02,5.7612000000e+04,4.5916800000e-09,4.4584600000e-09,8.6006100000e-09,9.6431500000e-09,6.4661000000e+01,-9.1688600000e-09,-2.9865800000e-09,9.6109800000e-09,-1.5985600000e+02,2.0870000000e+00,2.0880000000e+00,2.0860000000e+00,2.0830000000e+00
-1.5034200000e-08,-7.2060300000e-09,1.6671900000e-08,-1.5439100000e+02,5.7612000000e+04,4.7634900000e-09,1.3334100000e-08,9.5409800000e-09,1.6122100000e-08,3.5856000000e+01,-1.5837800000e-08,3.0108900000e-09,1.5854000000e-08,1.6950500000e+02,2.0870000000e+00,2.0880000000e+00,2.0860000000e+00,2.0820000000e+00
-1.5612100000e-08,-6.2465200000e-09,1.6815400000e-08,-1.5819300000e+02,5.7612000000e+04,4.4403500000e-09,1.4407400000e-08,8.9415100000e-09,1.7097700000e-08,3.2144000000e+01,-1.6555400000e-08,4.2736600000e-09,1.7242900000e-08,1.6585000000e+02,2.0870000000e+00,2.0890000000e+00,2.0860000000e+00,2.0830000000e+00
-9.8362200000e-09,-2.4378200000e-09,1.0134100000e-08,-1.6298100000e+02,5.7612000000e+04,4.6566900000e-09,8.6492400000e-09,4.3544600000e-09,9.4592600000e-09,2.8353000000e+01,-8.9817400000e-09,2.9644300000e-09,9.2370000000e-09,1.6343100000e+02,2.0870000000e+00,2.0890000000e+00,2.0860000000e+00,2.0840000000e+00
-1.1945600000e-08,-1.0251100000e-08,1.5741300000e-08,-1.3829000000e+02,5.7612000000e+04,4.7467400000e-09,9.8407700000e-09,1.2335400000e-08,1.5821700000e-08,5.2484000000e+01,-1.5739100000e-08,-2.2076900000e-09,1.5912200000e-08,-1.7202500000e+02,2.0870000000e+00,2.0890000000e+00,2.0860000000e+00,2.0840000000e+00
4.3474000000e-09,1.2228400000e-09,4.5161600000e-09,1.6629000000e+01,5.7612000000e+04,4.8314900000e-09,-4.1124000000e-09,-2.0364200000e-09,4.6611000000e-09,-1.5284500000e+02,4.3949600000e-09,-1.5536600000e-09,4.7322400000e-09,-1.8754000000e+01,2.0870000000e+00,2.0890000000e+00,2.0860000000e+00,2.0840000000e+00
-1.6242000000e-08,-2.3095700000e-09,1.6405400000e-08,-1.7190700000e+02,5.7612000000e+04,5.0713200000e-09,1.5620100000e-08,4.9106400000e-09,1.6373800000e-08,1.7079000000e+01,-1.4201700000e-08,8.0486300000e-09,1.6257100000e-08,1.5006000000e+02,2.0870000000e+00,2.0880000000e+00,2.0860000000e+00,2.0820000000e+00
-3.2068000000e-09,5.7669800000e-09,6.5988700000e-09,1.1907700000e+02,5.7612000000e+04,5.2395400000e-09,4.4217100000e-09,-5.1821000000e-09,7.0306000000e-09,-4.7976000000e+01,5.6289800000e-10,7.0073800000e-09,7.4747800000e-09,8.8093000000e+01,2.0870000000e+00,2.0890000000e+00,2.0860000000e+00,2.0840000000e+00
-6.9083100000e-09,6.5782600000e-09,9.5393200000e-09,1.3640200000e+02,5.7612000000e+04,4.9615800000e-09,8.1257300000e-09,-5.3566800000e-09,9.9210200000e-09,-3.2880000000e+01,-1.8078900000e-09,9.7553200000e-09,1.0288600000e-08,1.0153600000e+02,2.0870000000e+00,2.0880000000e+00,2.0860000000e+00,2.0820000000e+00
-5.3416200000e-09,1.2016900000e-08,1.3150700000e-08,1.1541300000e+02,5.7612000000e+04,4.4168000000e-09,7.4143800000e-09,-1.0541900000e-08,1.2765000000e-08,-5.4155000000e+01,2.3858900000e-09,1.2453200000e-08,1.2646900000e-08,8.0711000000e+01,2.0870000000e+00,2.0890000000e+00,2.0860000000e+00,2.0820000000e+00
1.8339500000e-08,7.6994800000e-09,1.9890200000e-08,2.2774000000e+01,5.7612000000e+04,4.6841700000e-09,-1.6580700000e-08,-1.0427000000e-08,1.9408700000e-08,-1.4798700000e+02,1.8782100000e-08,-4.8941000000e-09,1.9210600000e-08,-1.4754000000e+01,2.0870000000e+00,2.0890000000e+00,2.0860000000e+00,2.0830000000e+00
-7.9078500000e-09,-4.2797700000e-10,7.9194700000e-09,-1.7690200000e+02,5.7612000000e+04,4.6583700000e-09,7.7971300000e-09,1.6844700000e-09,8.0334500000e-09,1.1727000000e+01,-6.5897200000e-09,4.5956500000e-09,8.0882500000e-09,1.4479400000e+02,2.0870000000e+00,2.0890000000e+00,2.0860000000e+00,2.0820000000e+00
9.2509400000e-10,-6.8842600000e-09,6.9461600000e-09,-8.2347000000e+01,5.7612000000e+04,4.6574600000e-09,-2.1865400000e-09,6.7642300000e-09,7.2767700000e-09,1.0843100000e+02,-3.4366600000e-09,-6.4139700000e-09,7.4506500000e-09,-1.1771500000e+02,2.0870000000e+00,2.0890000000e+00,2.0860000000e+00,2.0830000000e+00
-9.9381400000e-09,-1.1059600000e-08,1.4868800000e-08,-1.3231200000e+02,5.7612000000e+04,4.6471700000e-09,8.0457800000e-09,1.2578700000e-08,1.4988000000e-08,5.7079000000e+01,-1.4739100000e-08,-2.6094500000e-09,1.5086500000e-08,-1.7004000000e+02,2.0870000000e+00,2.0880000000e+00,2.0850000000e+00,2.0820000000e+00
