2024-10-25,19:18:40,Sample Rate(S):,0.100
X,Y,R,Theta,Frequency,Noise,XH1,YH1,RH1,Theta H1,XH2,YH2,RH2,Theta H2,ADC1,ADC2,ADC3,ADC4
6.8152100000e-08,6.0747700000e-08,9.1296600000e-08,4.1712000000e+01,6.6660000000e+04,1.1765200000e-08,-6.9279600000e-08,5.9305300000e-08,9.1197300000e-08,1.3843900000e+02,-8.8862700000e-08,-2.0437500000e-08,9.1161000000e-08,-1.6820500000e+02,2.0870000000e+00,2.0880000000e+00,2.0860000000e+00,2.0830000000e+00
-5.7366300000e-09,1.7247300000e-08,1.8176500000e-08,1.0839800000e+02,6.6660000000e+04,1.1991600000e-08,-1.5299500000e-08,-7.7228300000e-09,1.6158500000e-08,-1.5375200000e+02,-2.5944800000e-09,-1.5949000000e-08,1.5277300000e-08,-9.9333000000e+01,2.0870000000e+00,2.0890000000e+00,2.0860000000e+00,2.0830000000e+00
-5.4783500000e-08,1.8580500000e-08,5.7849600000e-08,1.6126500000e+02,6.6660000000e+04,1.1806700000e-08,-8.2260900000e-09,-5.5397600000e-08,5.4106000000e-08,-9.7435000000e+01,3.9620000000e-08,-3.6846400000e-08,5.0068000000e-08,-4.1545000000e+01,2.0870000000e+00,2.0890000000e+00,2.0860000000e+00,2.0830000000e+00
-7.6772300000e-08,4.6452200000e-08,8.9732200000e-08,1.4882300000e+02,6.6660000000e+04,1.1887000000e-08,-3.5132000000e-08,-8.4750600000e-08,9.3735400000e-08,-1.1297000000e+02,4.9036700000e-08,-7.9885600000e-08,9.7537400000e-08,-5.8820000000e+01,2.0870000000e+00,2.0890000000e+00,2.0860000000e+00,2.0830000000e+00
-4.6372200000e-08,-2.7030300000e-08,5.3675600000e-08,-1.4976200000e+02,6.6660000000e+04,1.2456300000e-08,3.5512200000e-08,-4.6583700000e-08,6.1291300000e-08,-5.3727000000e+01,6.1284800000e-08,8.4095600000e-10,6.3889200000e-08,-1.5800000000e-01,2.0870000000e+00,2.0880000000e+00,2.0860000000e+00,2.0840000000e+00
-1.3202900000e-08,-4.3207600000e-08,4.5180300000e-08,-1.0781400000e+02,6.6660000000e+04,1.2970600000e-08,4.5247400000e-08,-6.8534800000e-09,4.6414600000e-08,-9.2590000000e+00,3.2674400000e-08,3.2964600000e-08,4.7084000000e-08,4.4669000000e+01,2.0870000000e+00,2.0890000000e+00,2.0860000000e+00,2.0830000000e+00
3.9770100000e-08,-3.0854700000e-09,3.9889600000e-08,-4.4360000000e+00,6.6660000000e+04,1.3116400000e-08,-3.2806600000e-09,3.8881500000e-08,3.9019600000e-08,9.4564000000e+01,-3.2200200000e-08,1.9288800000e-08,3.7156900000e-08,1.4864600000e+02,2.0870000000e+00,2.0890000000e+00,2.0860000000e+00,2.0840000000e+00
9.1069800000e-09,6.9016900000e-09,1.1464600000e-08,2.1600000000e+01,6.6660000000e+04,1.2386700000e-08,-6.1512200000e-09,1.0317900000e-08,1.3318700000e-08,1.0781800000e+02,-1.2670100000e-08,6.8158900000e-09,1.5000300000e-08,1.5295400000e+02,2.0870000000e+00,2.0880000000e+00,2.0860000000e+00,2.0830000000e+00
-2.8656500000e-08,3.6786700000e-08,4.6635000000e-08,1.2791800000e+02,6.6660000000e+04,1.2342800000e-08,-3.2808500000e-08,-3.2773400000e-08,4.5977400000e-08,-1.3636800000e+02,6.5138100000e-09,-4.5513300000e-08,4.4763300000e-08,-8.2534000000e+01,2.0870000000e+00,2.0890000000e+00,2.0860000000e+00,2.0830000000e+00
2.2072400000e-08,-1.6008000000e-08,2.7267000000e-08,-3.5951000000e+01,6.6660000000e+04,1.2895400000e-08,1.2685500000e-08,2.6534100000e-08,3.1138900000e-08,6.5181000000e+01,-1.5425300000e-08,2.7049600000e-08,3.2523800000e-08,1.1995600000e+02,2.0870000000e+00,2.0890000000e+00,2.0860000000e+00,2.0840000000e+00
1.5242400000e-08,-9.7776400000e-09,1.8109000000e-08,-3.2679000000e+01,6.6660000000e+04,1.2268400000e-08,7.0453400000e-09,1.6267800000e-08,1.7164500000e-08,6.7411000000e+01,-9.0763800000e-09,1.4568100000e-08,1.5739300000e-08,1.2414700000e+02,2.0870000000e+00,2.0890000000e+00,2.0860000000e+00,2.0840000000e+00
3.5812400000e-08,-5.7198300000e-09,3.6268000000e-08,-9.0740000000e+00,6.6660000000e+04,1.1872800000e-08,-1.3281300000e-09,3.4966600000e-08,3.2208600000e-08,9.6973000000e+01,-2.8299300000e-08,1.5374000000e-08,3.0636100000e-08,1.5436700000e+02,2.0870000000e+00,2.0890000000e+00,2.0860000000e+00,2.0830000000e+00
-2.6720700000e-09,1.1945800000e-08,1.2241700000e-08,1.0085600000e+02,6.6660000000e+04,1.1809600000e-08,-1.2066000000e-08,-4.3761600000e-09,1.3862000000e-08,-1.6159700000e+02,-4.0725100000e-09,-1.3539300000e-08,1.4235000000e-08,-1.0967000000e+02,2.0870000000e+00,2.0880000000e+00,2.0860000000e+00,2.0820000000e+00
4.2500900000e-08,-3.0137100000e-08,5.2101700000e-08,-3.5340000000e+01,6.6660000000e+04,1.2027800000e-08,2.2604700000e-08,4.5505900000e-08,4.6983200000e-08,6.3613000000e+01,-2.2148300000e-08,4.1435000000e-08,4.4358600000e-08,1.1857500000e+02,2.0870000000e+00,2.0880000000e+00,2.0860000000e+00,2.0830000000e+00
-3.9180500000e-08,9.0069000000e-08,9.8222000000e-08,1.1350900000e+02,6.6660000000e+04,1.1173500000e-08,-8.2965700000e-08,-5.2527800000e-08,9.8196800000e-08,-1.4804400000e+02,-6.0474900000e-09,-9.8010300000e-08,9.8176500000e-08,-9.3944000000e+01,2.0880000000e+00,2.0890000000e+00,2.0860000000e+00,2.0840000000e+00
-7.9013400000e-08,8.1877700000e-08,1.1378500000e-07,1.3391200000e+02,6.6660000000e+04,1.1286600000e-08,-6.7007500000e-08,-8.9287600000e-08,1.0919800000e-07,-1.2704700000e+02,3.2774500000e-08,-1.0156600000e-07,1.0634000000e-07,-7.2767000000e+01,2.0870000000e+00,2.0890000000e+00,2.0860000000e+00,2.0840000000e+00
2.6159500000e-08,6.6717900000e-08,7.1665400000e-08,6.8590000000e+01,6.6660000000e+04,1.0997300000e-08,-7.2268100000e-08,1.7748700000e-08,7.4418200000e-08,1.6452300000e+02,-5.9742300000e-08,-4.8440600000e-08,8.0570300000e-08,-1.4436500000e+02,2.0870000000e+00,2.0880000000e+00,2.0860000000e+00,2.0830000000e+00
